timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:13:33.962, 93 %, 32017 MiB, 383.95 W, 50
2026/09/06 16:13:34.212, 93 %, 32017 MiB, 383.95 W, 50
2026/09/06 16:13:34.462, 93 %, 32017 MiB, 382.88 W, 50
2026/09/06 16:13:34.713, 93 %, 32017 MiB, 382.88 W, 50
2026/09/06 16:13:34.963, 93 %, 32017 MiB, 363.66 W, 50
2026/09/06 16:13:35.213, 93 %, 32017 MiB, 363.66 W, 50
2026/09/06 16:13:35.463, 93 %, 32017 MiB, 383.02 W, 51
2026/09/06 16:13:35.713, 93 %, 32017 MiB, 383.02 W, 51
2026/09/06 16:13:35.964, 93 %, 32017 MiB, 383.45 W, 51
2026/09/06 16:13:36.214, 93 %, 32017 MiB, 383.45 W, 51
2026/09/06 16:13:36.464, 93 %, 32017 MiB, 375.78 W, 54
2026/09/06 16:13:36.714, 93 %, 32017 MiB, 375.78 W, 54
2026/09/06 16:13:36.964, 93 %, 32017 MiB, 384.27 W, 51
2026/09/06 16:13:37.215, 93 %, 32017 MiB, 384.27 W, 51
2026/09/06 16:13:37.465, 94 %, 32017 MiB, 384.55 W, 51
2026/09/06 16:13:37.715, 94 %, 32017 MiB, 384.55 W, 51
2026/09/06 16:13:37.965, 94 %, 32017 MiB, 365.44 W, 52
2026/09/06 16:13:38.216, 94 %, 32017 MiB, 365.44 W, 52
2026/09/06 16:13:38.466, 93 %, 32017 MiB, 386.48 W, 58
2026/09/06 16:13:38.716, 93 %, 32017 MiB, 386.48 W, 58
2026/09/06 16:13:38.966, 93 %, 32017 MiB, 386.55 W, 52
2026/09/06 16:13:39.216, 93 %, 32017 MiB, 386.55 W, 52
2026/09/06 16:13:39.467, 93 %, 32017 MiB, 386.46 W, 52
2026/09/06 16:13:39.717, 93 %, 32017 MiB, 386.46 W, 52
2026/09/06 16:13:39.967, 93 %, 32017 MiB, 371.23 W, 52
2026/09/06 16:13:40.217, 93 %, 32017 MiB, 371.23 W, 52
2026/09/06 16:13:40.468, 93 %, 32017 MiB, 389.13 W, 52
