timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:26:43.734, 0 %, 28247 MiB, 28.39 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:43.984, 0 %, 28247 MiB, 28.39 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:44.234, 0 %, 28247 MiB, 28.61 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:44.485, 0 %, 28247 MiB, 28.61 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:44.735, 0 %, 28247 MiB, 28.61 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:44.985, 0 %, 28247 MiB, 28.61 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:45.235, 0 %, 28247 MiB, 28.59 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:45.485, 0 %, 28247 MiB, 28.59 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:45.736, 0 %, 28247 MiB, 28.59 W, 41, 180 MHz, 405 MHz
2026/09/06 16:26:45.986, 0 %, 28247 MiB, 28.59 W, 41, 180 MHz, 405 MHz
2026/09/06 16:26:46.236, 0 %, 27719 MiB, 28.04 W, 41, 180 MHz, 405 MHz
2026/09/06 16:26:46.486, 0 %, 27719 MiB, 28.04 W, 41, 180 MHz, 405 MHz
2026/09/06 16:26:46.736, 0 %, 27719 MiB, 36.59 W, 42, 2400 MHz, 13801 MHz
2026/09/06 16:26:46.987, 0 %, 27719 MiB, 36.59 W, 42, 2400 MHz, 13801 MHz
2026/09/06 16:26:47.237, 0 %, 27719 MiB, 61.17 W, 42, 2400 MHz, 13801 MHz
2026/09/06 16:26:47.487, 0 %, 27997 MiB, 61.17 W, 42, 2400 MHz, 13801 MHz
2026/09/06 16:26:47.737, 94 %, 27997 MiB, 163.47 W, 49, 2797 MHz, 13801 MHz
2026/09/06 16:26:47.988, 94 %, 27997 MiB, 163.47 W, 49, 2797 MHz, 13801 MHz
2026/09/06 16:26:48.238, 94 %, 27997 MiB, 304.67 W, 49, 2865 MHz, 13801 MHz
2026/09/06 16:26:48.488, 94 %, 27997 MiB, 304.67 W, 49, 2865 MHz, 13801 MHz
2026/09/06 16:26:48.738, 94 %, 27997 MiB, 379.23 W, 50, 2865 MHz, 13801 MHz
2026/09/06 16:26:48.988, 94 %, 27997 MiB, 379.23 W, 50, 2865 MHz, 13801 MHz
2026/09/06 16:26:49.239, 94 %, 27997 MiB, 380.04 W, 50, 2865 MHz, 13801 MHz
2026/09/06 16:26:49.489, 94 %, 27997 MiB, 380.04 W, 50, 2865 MHz, 13801 MHz
2026/09/06 16:26:49.739, 94 %, 27997 MiB, 380.61 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:49.989, 94 %, 27997 MiB, 380.61 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:50.240, 94 %, 27997 MiB, 381.56 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:50.490, 94 %, 27997 MiB, 381.56 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:50.740, 94 %, 27997 MiB, 382.05 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:50.990, 94 %, 27997 MiB, 382.05 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:51.240, 94 %, 27997 MiB, 382.31 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:51.491, 94 %, 27997 MiB, 382.31 W, 51, 2865 MHz, 13801 MHz
2026/09/06 16:26:51.741, 94 %, 27997 MiB, 382.73 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:51.991, 94 %, 27997 MiB, 382.73 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:52.241, 94 %, 27997 MiB, 382.89 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:52.492, 94 %, 27997 MiB, 382.89 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:52.742, 95 %, 27997 MiB, 383.04 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:52.992, 95 %, 27997 MiB, 383.04 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:53.242, 95 %, 27997 MiB, 383.28 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:53.492, 95 %, 27997 MiB, 383.28 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:53.743, 95 %, 27997 MiB, 384.39 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:53.993, 95 %, 27997 MiB, 384.39 W, 52, 2865 MHz, 13801 MHz
2026/09/06 16:26:54.243, 95 %, 27997 MiB, 385.29 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:54.493, 95 %, 27997 MiB, 385.29 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:54.744, 95 %, 27997 MiB, 385.22 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:54.994, 95 %, 27997 MiB, 385.22 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:55.244, 95 %, 27997 MiB, 385.45 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:55.494, 95 %, 27997 MiB, 385.45 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:55.745, 94 %, 27997 MiB, 385.33 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:55.995, 94 %, 27997 MiB, 385.33 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:56.245, 94 %, 27997 MiB, 385.51 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:56.495, 94 %, 27997 MiB, 385.51 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:56.746, 94 %, 27997 MiB, 385.63 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:56.996, 94 %, 27997 MiB, 385.63 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:57.246, 94 %, 27997 MiB, 386.00 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:57.496, 94 %, 27997 MiB, 386.00 W, 53, 2865 MHz, 13801 MHz
2026/09/06 16:26:57.746, 94 %, 27997 MiB, 386.38 W, 54, 2865 MHz, 13801 MHz
