timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:07:34.109, 95 %, 27889 MiB, 383.73 W, 57
2026/09/06 16:07:34.359, 95 %, 27889 MiB, 383.73 W, 57
2026/09/06 16:07:34.609, 95 %, 27889 MiB, 387.10 W, 51
2026/09/06 16:07:34.860, 95 %, 27889 MiB, 387.10 W, 51
2026/09/06 16:07:35.110, 95 %, 27889 MiB, 365.14 W, 51
2026/09/06 16:07:35.360, 95 %, 27889 MiB, 365.14 W, 51
2026/09/06 16:07:35.610, 95 %, 27889 MiB, 364.88 W, 52
2026/09/06 16:07:35.860, 95 %, 27889 MiB, 364.88 W, 52
2026/09/06 16:07:36.111, 95 %, 27889 MiB, 387.45 W, 59
2026/09/06 16:07:36.361, 95 %, 27889 MiB, 387.45 W, 59
2026/09/06 16:07:36.611, 95 %, 27889 MiB, 388.01 W, 52
2026/09/06 16:07:36.861, 95 %, 27889 MiB, 388.01 W, 52
2026/09/06 16:07:37.112, 95 %, 27889 MiB, 386.46 W, 52
2026/09/06 16:07:37.362, 95 %, 27889 MiB, 386.46 W, 52
2026/09/06 16:07:37.612, 95 %, 27889 MiB, 366.19 W, 52
2026/09/06 16:07:37.862, 95 %, 27889 MiB, 366.19 W, 52
2026/09/06 16:07:38.113, 95 %, 27889 MiB, 389.38 W, 53
2026/09/06 16:07:38.363, 95 %, 27889 MiB, 389.38 W, 53
2026/09/06 16:07:38.613, 95 %, 27889 MiB, 390.49 W, 53
2026/09/06 16:07:38.863, 95 %, 27889 MiB, 390.49 W, 53
2026/09/06 16:07:39.113, 95 %, 27889 MiB, 368.21 W, 53
2026/09/06 16:07:39.364, 95 %, 27889 MiB, 368.21 W, 53
2026/09/06 16:07:39.614, 95 %, 27889 MiB, 367.92 W, 53
2026/09/06 16:07:39.864, 95 %, 27889 MiB, 367.92 W, 53
2026/09/06 16:07:40.114, 95 %, 27889 MiB, 389.75 W, 61
2026/09/06 16:07:40.364, 95 %, 27889 MiB, 389.75 W, 61
2026/09/06 16:07:40.616, 95 %, 27889 MiB, 390.03 W, 53
2026/09/06 16:07:40.866, 95 %, 27889 MiB, 390.03 W, 53
2026/09/06 16:07:41.116, 95 %, 27889 MiB, 384.01 W, 53
2026/09/06 16:07:41.367, 95 %, 27889 MiB, 384.01 W, 53
2026/09/06 16:07:41.617, 95 %, 27889 MiB, 368.15 W, 54
2026/09/06 16:07:41.867, 95 %, 27889 MiB, 368.15 W, 54
2026/09/06 16:07:42.117, 95 %, 27889 MiB, 388.90 W, 55
2026/09/06 16:07:42.367, 95 %, 27889 MiB, 388.90 W, 55
