timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:37:39.029, 94 %, 28337 MiB, 398.29 W, 51
2026/09/06 16:37:39.279, 94 %, 28337 MiB, 378.86 W, 51
2026/09/06 16:37:39.530, 94 %, 28337 MiB, 378.86 W, 51
2026/09/06 16:37:39.780, 94 %, 28337 MiB, 378.92 W, 51
2026/09/06 16:37:40.030, 94 %, 28337 MiB, 378.92 W, 51
2026/09/06 16:37:40.280, 94 %, 28337 MiB, 396.26 W, 52
2026/09/06 16:37:40.530, 94 %, 28337 MiB, 396.26 W, 52
2026/09/06 16:37:40.781, 94 %, 28337 MiB, 397.47 W, 52
2026/09/06 16:37:41.031, 94 %, 28337 MiB, 397.47 W, 52
2026/09/06 16:37:41.281, 94 %, 28337 MiB, 381.72 W, 52
2026/09/06 16:37:41.531, 94 %, 28337 MiB, 381.72 W, 52
2026/09/06 16:37:41.781, 96 %, 28337 MiB, 400.11 W, 53
2026/09/06 16:37:42.032, 96 %, 28337 MiB, 400.11 W, 53
2026/09/06 16:37:42.282, 96 %, 28337 MiB, 398.52 W, 52
2026/09/06 16:37:42.532, 96 %, 28337 MiB, 398.52 W, 52
2026/09/06 16:37:42.782, 95 %, 28337 MiB, 382.10 W, 52
2026/09/06 16:37:43.033, 95 %, 28337 MiB, 382.10 W, 52
2026/09/06 16:37:43.283, 95 %, 28337 MiB, 382.29 W, 52
2026/09/06 16:37:43.533, 95 %, 28337 MiB, 382.29 W, 52
2026/09/06 16:37:43.783, 94 %, 28337 MiB, 382.24 W, 57
2026/09/06 16:37:44.033, 94 %, 28337 MiB, 382.24 W, 57
2026/09/06 16:37:44.285, 94 %, 28337 MiB, 398.81 W, 53
2026/09/06 16:37:44.535, 94 %, 28337 MiB, 398.81 W, 53
2026/09/06 16:37:44.786, 94 %, 28337 MiB, 400.51 W, 53
2026/09/06 16:37:45.036, 94 %, 28337 MiB, 400.51 W, 53
2026/09/06 16:37:45.286, 94 %, 28337 MiB, 382.07 W, 53
2026/09/06 16:37:45.536, 94 %, 28337 MiB, 382.07 W, 53
2026/09/06 16:37:45.787, 82 %, 28337 MiB, 393.45 W, 55
2026/09/06 16:37:46.037, 82 %, 28337 MiB, 393.45 W, 55
2026/09/06 16:37:46.287, 82 %, 28337 MiB, 399.58 W, 53
2026/09/06 16:37:46.537, 82 %, 28337 MiB, 399.58 W, 53
2026/09/06 16:37:46.787, 94 %, 28337 MiB, 387.53 W, 53
2026/09/06 16:37:47.038, 94 %, 28337 MiB, 387.53 W, 53
2026/09/06 16:37:47.288, 94 %, 28337 MiB, 386.44 W, 58
2026/09/06 16:37:47.538, 94 %, 28337 MiB, 386.44 W, 58
2026/09/06 16:37:47.788, 95 %, 28337 MiB, 399.82 W, 54
2026/09/06 16:37:48.038, 95 %, 28337 MiB, 399.82 W, 54
2026/09/06 16:37:48.289, 95 %, 28337 MiB, 398.14 W, 54
2026/09/06 16:37:48.539, 95 %, 28337 MiB, 398.14 W, 54
2026/09/06 16:37:48.789, 94 %, 28337 MiB, 383.42 W, 54
2026/09/06 16:37:49.039, 94 %, 28337 MiB, 383.42 W, 54
2026/09/06 16:37:49.289, 94 %, 28337 MiB, 399.01 W, 54
2026/09/06 16:37:49.541, 94 %, 28337 MiB, 399.01 W, 54
2026/09/06 16:37:49.791, 94 %, 28337 MiB, 400.82 W, 54
2026/09/06 16:37:50.041, 94 %, 28337 MiB, 400.82 W, 54
2026/09/06 16:37:50.292, 94 %, 28337 MiB, 383.40 W, 54
2026/09/06 16:37:50.542, 94 %, 28337 MiB, 383.40 W, 54
2026/09/06 16:37:50.792, 95 %, 28337 MiB, 383.54 W, 54
2026/09/06 16:37:51.042, 95 %, 28337 MiB, 383.54 W, 54
2026/09/06 16:37:51.292, 95 %, 28337 MiB, 401.47 W, 55
2026/09/06 16:37:51.542, 95 %, 28337 MiB, 401.47 W, 55
2026/09/06 16:37:51.793, 95 %, 28337 MiB, 400.06 W, 55
2026/09/06 16:37:52.043, 95 %, 28337 MiB, 400.06 W, 55
2026/09/06 16:37:52.293, 95 %, 28337 MiB, 384.27 W, 55
2026/09/06 16:37:52.543, 95 %, 28337 MiB, 384.27 W, 55
2026/09/06 16:37:52.794, 94 %, 28337 MiB, 400.91 W, 55
2026/09/06 16:37:53.044, 94 %, 28337 MiB, 400.91 W, 55
2026/09/06 16:37:53.294, 94 %, 28337 MiB, 401.11 W, 55
2026/09/06 16:37:53.544, 94 %, 28337 MiB, 401.11 W, 55
2026/09/06 16:37:53.795, 94 %, 28337 MiB, 387.43 W, 55
2026/09/06 16:37:54.045, 94 %, 28337 MiB, 387.43 W, 55
2026/09/06 16:37:54.296, 94 %, 28337 MiB, 400.08 W, 57
2026/09/06 16:37:54.546, 94 %, 28337 MiB, 400.08 W, 57
2026/09/06 16:37:54.796, 94 %, 28337 MiB, 401.69 W, 55
2026/09/06 16:37:55.047, 94 %, 28337 MiB, 401.69 W, 55
2026/09/06 16:37:55.297, 94 %, 28337 MiB, 401.82 W, 55
2026/09/06 16:37:55.547, 94 %, 28337 MiB, 401.82 W, 55
2026/09/06 16:37:55.797, 94 %, 28337 MiB, 403.35 W, 56
2026/09/06 16:37:56.048, 94 %, 28337 MiB, 403.35 W, 56
2026/09/06 16:37:56.298, 94 %, 28337 MiB, 403.57 W, 56
2026/09/06 16:37:56.548, 94 %, 28337 MiB, 403.57 W, 56
2026/09/06 16:37:56.798, 86 %, 28337 MiB, 402.10 W, 57
2026/09/06 16:37:57.048, 86 %, 28337 MiB, 402.10 W, 57
2026/09/06 16:37:57.299, 86 %, 28337 MiB, 402.74 W, 56
2026/09/06 16:37:57.549, 86 %, 28337 MiB, 402.74 W, 56
2026/09/06 16:37:57.799, 94 %, 28337 MiB, 402.83 W, 56
2026/09/06 16:37:58.049, 94 %, 28337 MiB, 402.83 W, 56
2026/09/06 16:37:58.300, 94 %, 28337 MiB, 403.32 W, 56
2026/09/06 16:37:58.550, 94 %, 28337 MiB, 403.32 W, 56
2026/09/06 16:37:58.800, 94 %, 28337 MiB, 402.28 W, 56
2026/09/06 16:37:59.050, 94 %, 28337 MiB, 402.28 W, 56
2026/09/06 16:37:59.301, 94 %, 28337 MiB, 402.75 W, 57
2026/09/06 16:37:59.551, 94 %, 28337 MiB, 402.75 W, 57
2026/09/06 16:37:59.801, 94 %, 28337 MiB, 404.13 W, 56
2026/09/06 16:38:00.051, 94 %, 28337 MiB, 404.13 W, 56
2026/09/06 16:38:00.302, 94 %, 28337 MiB, 386.44 W, 56
2026/09/06 16:38:00.552, 94 %, 28337 MiB, 386.44 W, 56
2026/09/06 16:38:00.802, 94 %, 28337 MiB, 386.32 W, 57
2026/09/06 16:38:01.052, 94 %, 28337 MiB, 386.32 W, 57
2026/09/06 16:38:01.302, 94 %, 28337 MiB, 403.93 W, 57
2026/09/06 16:38:01.552, 94 %, 28337 MiB, 403.93 W, 57
2026/09/06 16:38:01.802, 94 %, 28337 MiB, 402.60 W, 57
2026/09/06 16:38:02.053, 94 %, 28337 MiB, 402.60 W, 57
2026/09/06 16:38:02.303, 94 %, 28337 MiB, 386.78 W, 57
2026/09/06 16:38:02.553, 94 %, 28337 MiB, 386.78 W, 57
2026/09/06 16:38:02.803, 94 %, 28337 MiB, 402.96 W, 57
2026/09/06 16:38:03.053, 94 %, 28337 MiB, 402.96 W, 57
2026/09/06 16:38:03.303, 94 %, 28337 MiB, 404.83 W, 57
2026/09/06 16:38:03.554, 94 %, 28337 MiB, 404.83 W, 57
2026/09/06 16:38:03.804, 95 %, 28337 MiB, 387.51 W, 57
2026/09/06 16:38:04.054, 95 %, 28337 MiB, 387.51 W, 57
2026/09/06 16:38:04.304, 95 %, 28337 MiB, 387.52 W, 57
2026/09/06 16:38:04.554, 95 %, 28337 MiB, 387.52 W, 57
2026/09/06 16:38:04.804, 94 %, 28337 MiB, 404.12 W, 58
2026/09/06 16:38:05.055, 94 %, 28337 MiB, 404.12 W, 58
2026/09/06 16:38:05.305, 94 %, 28337 MiB, 406.17 W, 57
2026/09/06 16:38:05.555, 94 %, 28337 MiB, 406.17 W, 57
2026/09/06 16:38:05.805, 94 %, 28337 MiB, 387.95 W, 57
2026/09/06 16:38:06.055, 94 %, 28337 MiB, 387.95 W, 57
2026/09/06 16:38:06.305, 94 %, 28337 MiB, 387.64 W, 58
2026/09/06 16:38:06.556, 94 %, 28337 MiB, 387.64 W, 58
2026/09/06 16:38:06.806, 85 %, 28337 MiB, 402.78 W, 59
2026/09/06 16:38:07.056, 85 %, 28337 MiB, 402.78 W, 59
2026/09/06 16:38:07.306, 85 %, 28337 MiB, 403.56 W, 58
2026/09/06 16:38:07.556, 85 %, 28337 MiB, 403.56 W, 58
2026/09/06 16:38:07.806, 94 %, 28337 MiB, 403.67 W, 58
2026/09/06 16:38:08.057, 94 %, 28337 MiB, 403.67 W, 58
2026/09/06 16:38:08.307, 94 %, 28337 MiB, 402.81 W, 58
2026/09/06 16:38:08.557, 94 %, 28337 MiB, 402.81 W, 58
2026/09/06 16:38:08.807, 94 %, 28337 MiB, 402.86 W, 58
2026/09/06 16:38:09.058, 94 %, 28337 MiB, 402.86 W, 58
2026/09/06 16:38:09.308, 94 %, 28337 MiB, 405.89 W, 59
2026/09/06 16:38:09.558, 94 %, 28337 MiB, 405.89 W, 59
