timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:47:58.152, 100 %, 31897 MiB, 421.18 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:47:58.402, 100 %, 31897 MiB, 418.40 W, 67, 2797 MHz, 13801 MHz
2026/09/06 16:47:58.652, 100 %, 31897 MiB, 418.40 W, 67, 2797 MHz, 13801 MHz
2026/09/06 16:47:58.902, 93 %, 31897 MiB, 418.05 W, 67, 2790 MHz, 13801 MHz
2026/09/06 16:47:59.153, 93 %, 31897 MiB, 418.05 W, 67, 2790 MHz, 13801 MHz
2026/09/06 16:47:59.403, 93 %, 31897 MiB, 420.51 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:47:59.653, 93 %, 31897 MiB, 420.51 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:47:59.903, 100 %, 31897 MiB, 420.43 W, 66, 2790 MHz, 13801 MHz
2026/09/06 16:48:00.154, 100 %, 31897 MiB, 420.43 W, 66, 2790 MHz, 13801 MHz
2026/09/06 16:48:00.404, 100 %, 31897 MiB, 418.06 W, 68, 2790 MHz, 13801 MHz
2026/09/06 16:48:00.654, 100 %, 31897 MiB, 418.06 W, 68, 2790 MHz, 13801 MHz
2026/09/06 16:48:00.904, 100 %, 31897 MiB, 419.68 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:01.155, 100 %, 31897 MiB, 419.68 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:01.405, 100 %, 31897 MiB, 424.00 W, 65, 2820 MHz, 13801 MHz
2026/09/06 16:48:01.655, 100 %, 31897 MiB, 424.00 W, 65, 2820 MHz, 13801 MHz
2026/09/06 16:48:01.905, 100 %, 31897 MiB, 423.04 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:02.156, 100 %, 31897 MiB, 423.04 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:02.406, 100 %, 31897 MiB, 418.77 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:02.656, 100 %, 31897 MiB, 418.77 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:02.906, 100 %, 31897 MiB, 420.78 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:03.157, 100 %, 31897 MiB, 420.78 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:03.407, 100 %, 31897 MiB, 420.86 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:03.657, 100 %, 31897 MiB, 420.86 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:03.907, 100 %, 31897 MiB, 420.09 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:04.157, 100 %, 31897 MiB, 420.09 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:04.408, 100 %, 31897 MiB, 421.64 W, 65, 2812 MHz, 13801 MHz
2026/09/06 16:48:04.658, 100 %, 31897 MiB, 421.64 W, 65, 2812 MHz, 13801 MHz
2026/09/06 16:48:04.908, 100 %, 31897 MiB, 421.98 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:05.158, 100 %, 31897 MiB, 421.98 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:05.409, 100 %, 31897 MiB, 420.81 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:05.659, 100 %, 31897 MiB, 420.81 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:05.910, 100 %, 31897 MiB, 418.05 W, 66, 2805 MHz, 13801 MHz
2026/09/06 16:48:06.160, 100 %, 31897 MiB, 418.05 W, 66, 2805 MHz, 13801 MHz
2026/09/06 16:48:06.410, 100 %, 31897 MiB, 419.74 W, 68, 2805 MHz, 13801 MHz
2026/09/06 16:48:06.661, 100 %, 31897 MiB, 419.74 W, 68, 2805 MHz, 13801 MHz
2026/09/06 16:48:06.911, 100 %, 31897 MiB, 418.90 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:07.161, 100 %, 31897 MiB, 418.90 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:07.412, 100 %, 31897 MiB, 417.52 W, 69, 2797 MHz, 13801 MHz
2026/09/06 16:48:07.663, 100 %, 31897 MiB, 417.52 W, 69, 2797 MHz, 13801 MHz
2026/09/06 16:48:07.913, 100 %, 31897 MiB, 418.72 W, 68, 2797 MHz, 13801 MHz
2026/09/06 16:48:08.163, 100 %, 31897 MiB, 418.72 W, 68, 2797 MHz, 13801 MHz
2026/09/06 16:48:08.413, 100 %, 31897 MiB, 421.58 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:08.663, 100 %, 31897 MiB, 421.58 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:08.913, 100 %, 31897 MiB, 420.36 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:09.164, 100 %, 31897 MiB, 420.36 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:09.414, 100 %, 31897 MiB, 418.17 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:09.664, 100 %, 31897 MiB, 418.17 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:09.914, 100 %, 31897 MiB, 420.67 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:10.164, 100 %, 31897 MiB, 420.67 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:10.414, 100 %, 31897 MiB, 419.10 W, 69, 2797 MHz, 13801 MHz
2026/09/06 16:48:10.665, 100 %, 31897 MiB, 419.10 W, 69, 2797 MHz, 13801 MHz
2026/09/06 16:48:10.915, 94 %, 31897 MiB, 418.94 W, 69, 2812 MHz, 13801 MHz
